School Year,Gender Description,Geo Code,Geography,Grade Code,Grade Description,Pediatric Category Description,Student Case Count,Student Enrollment Count,Prevalence,Lower CI,Upper CI ,Statistical Significance,Stability,State Student Case Count,State Student Enrollment Count,State Prevalence,State Lower CI,State Upper CI
2009-2010,Total,15,Athol,15,Total,Asthma,188,1275,14.7,12.6,16.9,Statistically significantly higher,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,16,Attleboro,15,Total,Asthma,471,4646,10.1,9.2,11.1,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,17,Auburn,15,Total,Asthma,149,1699,8.8,7.4,10.2,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,18,Avon,15,Total,Asthma,39,438,8.9,6.1,11.7,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,19,Ayer,15,Total,Asthma,65,788,8.2,6.2,10.3,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,20,Barnstable,15,Total,Asthma,192,4019,4.8,4.1,5.5,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,21,Barre,15,Total,Asthma,32,655,4.9,3.2,6.6,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,22,Becket,15,Total,Asthma,10,148,6.8,2.6,10.9,Statistically significantly lower,Unstable,80440,696904,11.5,11.4,11.6
2009-2010,Total,23,Bedford,15,Total,Asthma,166,1636,10.1,8.6,11.7,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,24,Belchertown,15,Total,Asthma,185,1933,9.6,8.2,10.9,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,25,Bellingham,15,Total,Asthma,118,1843,6.4,5.2,7.6,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,26,Belmont,15,Total,Asthma,279,2988,9.3,8.2,10.4,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,27,Berkley,15,Total,Asthma,72,867,8.3,6.4,10.2,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,28,Berlin,15,Total,Asthma,30,285,10.5,6.8,14.3,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,29,Bernardston,15,Total,Asthma,15,211,7.1,3.5,10.7,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,30,Beverly,15,Total,Asthma,365,3563,10.2,9.2,11.3,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,31,Billerica,15,Total,Asthma,346,4630,7.5,6.7,8.3,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,32,Blackstone,15,Total,Asthma,115,1033,11.1,9.1,13.2,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,33,Blandford,15,Total,Asthma,9,115,7.8,2.7,12.9,Not statistically significantly different,Unstable,80440,696904,11.5,11.4,11.6
2009-2010,Total,34,Bolton,15,Total,Asthma,52,803,6.5,4.7,8.2,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,35,Boston,15,Total,Asthma,7461,48738,15.3,15,15.7,Statistically significantly higher,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,36,Bourne,15,Total,Asthma,192,1800,10.7,9.2,12.2,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,37,Boxborough,15,Total,Asthma,30,652,4.6,3,6.2,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,38,Boxford,15,Total,Asthma,106,1245,8.5,6.9,10.1,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,39,Boylston,15,Total,Asthma,34,480,7.1,4.7,9.5,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,40,Braintree,15,Total,Asthma,498,4143,12,11,13.1,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,41,Brewster,15,Total,Asthma,76,767,9.9,7.7,12.1,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,42,Bridgewater,15,Total,Asthma,280,2765,10.1,8.9,11.3,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,43,Brimfield,15,Total,Asthma,62,385,16.1,12.1,20.1,Statistically significantly higher,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,44,Brockton,15,Total,Asthma,1697,11752,14.4,13.8,15.1,Statistically significantly higher,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,45,Brookfield,15,Total,Asthma,42,327,12.8,9,16.7,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,46,Brookline,15,Total,Asthma,533,4801,11.1,10.2,12,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,47,Buckland,15,Total,Asthma,14,191,7.3,3.5,11.2,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,48,Burlington,15,Total,Asthma,271,2737,9.9,8.7,11.1,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,49,Cambridge,15,Total,Asthma,629,5042,12.5,11.5,13.5,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,50,Canton,15,Total,Asthma,326,2543,12.8,11.4,14.2,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,51,Carlisle,15,Total,Asthma,45,736,6.1,4.3,7.9,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,52,Carver,15,Total,Asthma,104,1373,7.6,6.1,9,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,53,Charlemont,15,Total,Asthma,11,117,9.4,3.8,15,Not statistically significantly different,Unstable,80440,696904,11.5,11.4,11.6
2009-2010,Total,54,Charlton,15,Total,Asthma,186,1714,10.9,9.3,12.4,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,55,Chatham,15,Total,Asthma,52,380,13.7,10,17.4,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,56,Chelmsford,15,Total,Asthma,482,4036,11.9,10.9,13,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,57,Chelsea,15,Total,Asthma,375,4171,9,8.1,9.9,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,58,Cheshire,15,Total,Asthma,33,312,10.6,7,14.2,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,59,Chester,15,Total,Asthma,20,142,14.1,7.9,20.3,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,60,Chesterfield,15,Total,Asthma,19,129,14.7,8.1,21.4,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,61,Chicopee,15,Total,Asthma,788,5583,14.1,13.1,15.1,Statistically significantly higher,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,62,Chilmark,15,Total,Asthma,NS,77,NS,NS,NS,NS,        ,80440,696904,11.5,11.4,11.6
2009-2010,Total,63,Clarksburg,15,Total,Asthma,12,190,6.3,2.7,9.9,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,64,Clinton,15,Total,Asthma,108,1356,8,6.5,9.5,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,65,Cohasset,15,Total,Asthma,74,1199,6.2,4.8,7.6,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,66,Colrain,15,Total,Asthma,14,156,9,4.3,13.7,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,67,Concord,15,Total,Asthma,251,2102,11.9,10.5,13.4,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,68,Conway,15,Total,Asthma,14,192,7.3,3.5,11.1,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,69,Cummington,15,Total,Asthma,12,81,14.8,6.4,23.2,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,70,Dalton,15,Total,Asthma,76,832,9.1,7.1,11.2,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,71,Danvers,15,Total,Asthma,330,2753,12,10.7,13.3,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,72,Dartmouth,15,Total,Asthma,429,3040,14.1,12.8,15.4,Statistically significantly higher,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,73,Dedham,15,Total,Asthma,312,2156,14.5,12.9,16.1,Statistically significantly higher,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,74,Deerfield,15,Total,Asthma,62,542,11.4,8.6,14.3,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,75,Dennis,15,Total,Asthma,118,990,11.9,9.8,14.1,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,76,Dighton,15,Total,Asthma,74,923,8,6.2,9.8,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,77,Douglas,15,Total,Asthma,147,1257,11.7,9.8,13.6,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,78,Dover,15,Total,Asthma,66,1007,6.6,5,8.1,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,79,Dracut,15,Total,Asthma,380,3410,11.1,10,12.3,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,80,Dudley,15,Total,Asthma,177,1352,13.1,11.2,15,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,81,Dunstable,15,Total,Asthma,64,497,12.9,9.7,16,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,82,Duxbury,15,Total,Asthma,223,2323,9.6,8.3,10.9,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,83,East Bridgewater,15,Total,Asthma,121,1781,6.8,5.6,8,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,84,East Brookfield,15,Total,Asthma,11,261,4.2,1.7,6.7,Statistically significantly lower,Unstable,80440,696904,11.5,11.4,11.6
2009-2010,Total,85,East Longmeadow,15,Total,Asthma,212,1970,10.8,9.3,12.2,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,86,Eastham,15,Total,Asthma,49,352,13.9,10,17.8,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,87,Easthampton,15,Total,Asthma,116,1338,8.7,7.1,10.2,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,88,Easton,15,Total,Asthma,239,2753,8.7,7.6,9.8,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,89,Edgartown,15,Total,Asthma,13,391,3.3,1.5,5.1,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,90,Egremont,15,Total,Asthma,13,83,15.7,7.1,24.2,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,91,Erving,15,Total,Asthma,34,209,16.3,10.8,21.7,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,92,Essex,15,Total,Asthma,21,381,5.5,3.2,7.9,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,93,Everett,15,Total,Asthma,407,4312,9.4,8.5,10.4,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,94,Fairhaven,15,Total,Asthma,167,1456,11.5,9.7,13.2,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,95,Fall River,15,Total,Asthma,1425,8933,16,15.1,16.8,Statistically significantly higher,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,96,Falmouth,15,Total,Asthma,318,2752,11.6,10.3,12.8,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,97,Fitchburg,15,Total,Asthma,653,4199,15.6,14.4,16.7,Statistically significantly higher,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,98,Florida,15,Total,Asthma,6,86,7,1.4,12.6,Not statistically significantly different,Unstable,80440,696904,11.5,11.4,11.6
2009-2010,Total,99,Foxborough,15,Total,Asthma,323,2084,15.5,13.8,17.2,Statistically significantly higher,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,100,Framingham,15,Total,Asthma,793,6345,12.5,11.6,13.4,Statistically significantly higher,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,101,Franklin,15,Total,Asthma,446,4768,9.4,8.5,10.2,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,102,Freetown,15,Total,Asthma,82,996,8.2,6.5,10,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,103,Gardner,15,Total,Asthma,348,1883,18.5,16.5,20.4,Statistically significantly higher,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,105,Georgetown,15,Total,Asthma,65,1162,5.6,4.2,7,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,106,Gill,15,Total,Asthma,11,127,8.7,3.5,13.8,Not statistically significantly different,Unstable,80440,696904,11.5,11.4,11.6
2009-2010,Total,107,Gloucester,15,Total,Asthma,253,2523,10,8.8,11.3,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,108,Goshen,15,Total,Asthma,15,85,17.6,8.7,26.6,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,109,Gosnold,15,Total,Asthma,0,3,0,0,213.2,Not statistically significantly different,Unstable,80440,696904,11.5,11.4,11.6
2009-2010,Total,110,Grafton,15,Total,Asthma,224,2393,9.4,8.1,10.6,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,111,Granby,15,Total,Asthma,104,685,15.2,12.3,18.1,Statistically significantly higher,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,112,Granville,15,Total,Asthma,10,180,5.6,2.1,9,Statistically significantly lower,Unstable,80440,696904,11.5,11.4,11.6
2009-2010,Total,113,Great Barrington,15,Total,Asthma,46,620,7.4,5.3,9.6,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,114,Greenfield,15,Total,Asthma,232,1423,16.3,14.2,18.4,Statistically significantly higher,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,115,Groton,15,Total,Asthma,211,1643,12.8,11.1,14.6,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,116,Groveland,15,Total,Asthma,45,877,5.1,3.6,6.6,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,117,Hadley,15,Total,Asthma,82,504,16.3,12.7,19.8,Statistically significantly higher,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,118,Halifax,15,Total,Asthma,67,896,7.5,5.7,9.3,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,119,Hamilton,15,Total,Asthma,96,1058,9.1,7.3,10.9,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,120,Hampden,15,Total,Asthma,67,590,11.4,8.6,14.1,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,121,Hancock,15,Total,Asthma,NS,56,NS,NS,NS,NS,        ,80440,696904,11.5,11.4,11.6
2009-2010,Total,122,Hanover,15,Total,Asthma,183,2127,8.6,7.4,9.9,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,123,Hanson,15,Total,Asthma,158,1416,11.2,9.4,12.9,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,124,Hardwick,15,Total,Asthma,30,298,10.1,6.5,13.7,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,125,Harvard,15,Total,Asthma,80,798,10,7.8,12.2,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,126,Harwich,15,Total,Asthma,72,996,7.2,5.6,8.9,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,127,Hatfield,15,Total,Asthma,29,256,11.3,7.2,15.5,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,128,Haverhill,15,Total,Asthma,940,6499,14.5,13.5,15.4,Statistically significantly higher,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,129,Hawley,15,Total,Asthma,NS,20,NS,NS,NS,NS,        ,80440,696904,11.5,11.4,11.6
2009-2010,Total,130,Heath,15,Total,Asthma,12,78,15.4,6.7,24.1,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,131,Hingham,15,Total,Asthma,276,2873,9.6,8.5,10.7,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,132,Hinsdale,15,Total,Asthma,20,211,9.5,5.3,13.6,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,133,Holbrook,15,Total,Asthma,126,1086,11.6,9.6,13.6,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,134,Holden,15,Total,Asthma,134,2340,5.7,4.8,6.7,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,135,Holland,15,Total,Asthma,57,261,21.8,16.2,27.5,Statistically significantly higher,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,136,Holliston,15,Total,Asthma,192,1913,10,8.6,11.5,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,137,Holyoke,15,Total,Asthma,1132,4459,25.4,23.9,26.9,Statistically significantly higher,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,138,Hopedale,15,Total,Asthma,77,813,9.5,7.4,11.6,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,139,Hopkinton,15,Total,Asthma,209,2519,8.3,7.2,9.4,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,140,Hubbardston,15,Total,Asthma,52,615,8.5,6.2,10.8,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,141,Hudson,15,Total,Asthma,257,2090,12.3,10.8,13.8,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,142,Hull,15,Total,Asthma,104,895,11.6,9.4,13.9,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,143,Huntington,15,Total,Asthma,26,205,12.7,7.8,17.6,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,144,Ipswich,15,Total,Asthma,86,1461,5.9,4.6,7.1,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,145,Kingston,15,Total,Asthma,164,1664,9.9,8.3,11.4,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,146,Lakeville,15,Total,Asthma,134,1423,9.4,7.8,11,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,147,Lancaster,15,Total,Asthma,101,797,12.7,10.2,15.1,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,148,Lanesborough,15,Total,Asthma,21,311,6.8,3.9,9.6,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,149,Lawrence,15,Total,Asthma,1977,10169,19.4,18.6,20.3,Statistically significantly higher,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,150,Lee,15,Total,Asthma,40,529,7.6,5.2,9.9,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,151,Leicester,15,Total,Asthma,64,1224,5.2,3.9,6.5,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,152,Lenox,15,Total,Asthma,22,454,4.8,2.8,6.9,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,153,Leominster,15,Total,Asthma,474,4658,10.2,9.3,11.1,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,154,Leverett,15,Total,Asthma,16,172,9.3,4.7,13.9,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,155,Lexington,15,Total,Asthma,431,4334,9.9,9,10.9,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,156,Leyden,15,Total,Asthma,8,71,11.3,3.5,19.1,Not statistically significantly different,Unstable,80440,696904,11.5,11.4,11.6
2009-2010,Total,157,Lincoln,15,Total,Asthma,50,962,5.2,3.8,6.6,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,158,Littleton,15,Total,Asthma,83,1254,6.6,5.2,8,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,159,Longmeadow,15,Total,Asthma,199,2168,9.2,7.9,10.5,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,160,Lowell,15,Total,Asthma,1548,11785,13.1,12.5,13.8,Statistically significantly higher,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,161,Ludlow,15,Total,Asthma,303,2114,14.3,12.7,15.9,Statistically significantly higher,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,162,Lunenburg,15,Total,Asthma,103,1200,8.6,6.9,10.2,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,163,Lynn,15,Total,Asthma,1128,10540,10.7,10.1,11.3,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,164,Lynnfield,15,Total,Asthma,110,1687,6.5,5.3,7.7,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,165,Malden,15,Total,Asthma,586,5103,11.5,10.6,12.4,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,166,Manchester,15,Total,Asthma,77,664,11.6,9,14.2,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,167,Mansfield,15,Total,Asthma,498,3589,13.9,12.7,15.1,Statistically significantly higher,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,168,Marblehead,15,Total,Asthma,151,2662,5.7,4.8,6.6,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,169,Marion,15,Total,Asthma,59,548,10.8,8,13.5,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,170,Marlborough,15,Total,Asthma,521,3761,13.9,12.7,15,Statistically significantly higher,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,171,Marshfield,15,Total,Asthma,295,3334,8.8,7.8,9.9,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,172,Mashpee,15,Total,Asthma,148,1330,11.1,9.3,12.9,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,173,Mattapoisett,15,Total,Asthma,54,646,8.4,6.1,10.6,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,174,Maynard,15,Total,Asthma,117,1027,11.4,9.3,13.5,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,175,Medfield,15,Total,Asthma,241,2137,11.3,9.9,12.7,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,176,Medford,15,Total,Asthma,516,4295,12,11,13.1,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,177,Medway,15,Total,Asthma,168,1913,8.8,7.5,10.1,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,178,Melrose,15,Total,Asthma,302,2962,10.2,9,11.3,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,179,Mendon,15,Total,Asthma,102,907,11.2,9.1,13.4,Not statistically significantly different,Stable  ,80440,696904,11.5,11.4,11.6
2009-2010,Total,180,Merrimac,15,Total,Asthma,62,855,7.3,5.4,9.1,Statistically significantly lower,Stable  ,80440,696904,11.5,11.4,11.6
